67, F, W, Y,44000,168292,2,1
57, M, B, N,63000,167317,4,2
68, F, B, Y,43000,21383,2,0
48, M, B, Y,25000,150060,6,7
52, F, B, Y,24000,88699,4,6
57, M, B, Y,46000,41498,9,0
20, F, B, Y,31000,82086,0,3
64, F, B, Y,29000,163273,8,9
64, F, B, Y,29000,120830,0,0
50, M, B, N,27000,41371,7,0
68, F, W, N,26000,114523,4,7
67, F, B, Y,22000,44734,9,0
48, F, W, N,53000,138250,2,3
53, M, B, Y,66000,25913,4,2
27, F, W, Y,43000,152618,0,6
29, M, W, Y,27000,139394,0,2
37, M, B, Y,37000,104273,8,4
31, M, W, Y,24000,93209,6,6
57, F, B, Y,40000,42521,1,2
46, F, W, Y,52000,169463,3,8
57, F, B, Y,67000,87667,8,4
24, M, B, Y,33000,29406,2,3
38, F, B, N,55000,126721,7,4
64, F, B, N,45000,158669,4,7
51, M, B, Y,47000,112070,8,0
65, F, W, Y,60000,128289,8,0
68, F, B, N,24000,118767,2,8
24, F, B, Y,61000,47152,3,0
25, M, B, N,63000,156036,7,4
29, F, B, N,22000,101479,0,4
54, F, B, Y,32000,88635,0,2
34, M, W, Y,41000,156972,9,6
26, M, B, N,30000,63704,4,8
61, F, W, N,48000,159258,6,3
41, M, W, Y,41000,118702,1,5
51, F, B, Y,56000,28247,7,9
49, M, W, Y,45000,86091,3,7
39, F, B, Y,33000,22024,5,5
34, M, B, Y,41000,150356,7,7
42, F, B, Y,46000,25919,4,0
53, F, W, Y,68000,53014,8,4
69, F, B, Y,56000,102359,2,6
47, F, B, Y,44000,101225,5,6
54, M, B, Y,38000,37138,9,4
29, F, B, Y,53000,135629,6,4
60, M, W, N,22000,137733,2,7
56, M, B, N,40000,13038,5,6
68, F, W, N,59000,139277,3,7
65, M, W, N,66000,79604,7,5
35, F, W, Y,29000,153832,8,0
27, M, W, N,51000,150099,1,8
55, M, B, Y,24000,118569,4,3
66, F, W, N,50000,28911,4,2
22, F, B, N,55000,158501,7,2
41, M, W, N,43000,168403,5,5
23, M, B, N,68000,159368,8,7
24, M, W, N,23000,140245,7,5
26, M, W, Y,68000,86326,0,0
50, F, W, N,36000,155357,0,6
60, F, W, N,53000,64041,7,1
35, M, W, N,29000,28069,9,5
34, M, B, N,66000,73832,5,4
32, M, W, Y,32000,100146,3,1
69, F, W, N,24000,123475,1,3
26, M, W, Y,67000,40282,5,7
57, F, W, N,25000,25305,6,6
23, M, W, Y,25000,114708,6,3
55, F, W, Y,36000,38220,6,7
67, M, B, Y,27000,124514,8,5
45, F, B, Y,36000,149246,2,4
47, M, W, Y,43000,45342,4,5
46, F, W, N,31000,130249,7,0
58, M, B, N,53000,45043,6,7
42, M, W, N,54000,145448,9,8
24, F, B, N,62000,154943,5,1
69, M, W, Y,34000,125344,9,7
40, F, B, Y,58000,70341,9,6
69, F, B, Y,25000,162688,7,9
32, M, B, N,58000,75853,8,9
65, M, W, N,50000,66114,4,3
27, M, B, Y,23000,131242,9,1
46, F, B, N,32000,87063,3,8
38, M, W, Y,33000,113345,1,1
48, M, B, Y,35000,75627,6,9
33, F, W, N,48000,89735,8,0
30, M, W, N,21000,120930,7,9
37, M, W, N,66000,19730,1,7
62, M, W, N,61000,11676,5,4
44, F, B, N,29000,78386,4,5
59, F, B, N,38000,12488,6,7
62, F, B, N,56000,119089,2,2
35, F, B, Y,56000,51665,7,8
51, F, B, Y,44000,30378,2,2
55, M, B, Y,55000,55977,7,0
49, M, W, N,28000,62625,7,5
67, M, B, Y,43000,48126,8,7
26, F, B, N,66000,80184,5,8
27, F, W, Y,49000,102501,3,2
23, M, W, Y,31000,94652,5,5
27, F, W, N,47000,134848,4,5
52, F, W, Y,28000,154856,0,1
44, F, B, Y,24000,21479,7,1
39, M, W, N,59000,109193,3,5
30, F, B, N,60000,103649,9,5
56, M, W, Y,22000,115949,7,8
49, M, B, N,39000,92723,4,9
50, M, B, N,52000,97219,9,9
27, F, B, Y,65000,31758,8,1
39, F, W, Y,46000,52062,7,5
47, F, W, Y,25000,129132,0,9
20, F, W, N,25000,144500,4,5
67, M, B, N,68000,159829,0,4
62, M, W, N,37000,162007,2,6
33, M, W, N,54000,130025,5,4
20, F, B, N,33000,60090,8,6
25, M, B, Y,53000,100580,4,9
22, M, W, Y,51000,148605,1,6
46, M, W, Y,56000,145084,1,8
20, F, W, N,50000,155430,5,1
61, M, W, N,26000,18055,4,6
49, F, B, Y,26000,123103,2,7
64, F, W, N,35000,68936,4,3
59, F, B, Y,48000,54083,9,6
29, F, B, Y,42000,17509,3,9
30, M, W, N,51000,60218,1,2
66, M, W, Y,28000,86346,3,4
66, M, W, N,33000,92088,2,7
30, F, W, N,24000,65927,1,5
54, M, W, Y,61000,123807,3,5
43, F, B, N,68000,88049,1,4
56, F, W, N,30000,108944,6,8
64, F, B, Y,56000,43154,1,2
46, F, B, N,34000,23160,7,9
29, M, W, N,39000,57193,0,8
30, F, B, Y,30000,29212,7,6
61, F, W, Y,24000,163663,9,1
56, M, B, Y,24000,39919,6,6
25, F, W, Y,35000,66423,3,8
45, F, B, N,33000,74750,3,2
33, F, W, N,31000,88942,0,9
49, F, B, Y,40000,125624,8,0
40, F, B, Y,60000,125574,6,2
40, M, B, Y,51000,47572,3,3
44, F, B, Y,60000,10506,8,2
48, M, W, Y,61000,29878,4,3
32, F, W, Y,32000,119997,1,8
39, F, B, Y,60000,163320,0,4
43, F, W, N,54000,103532,7,1
21, M, B, N,53000,59144,4,8
67, M, B, N,32000,79514,4,2
49, M, W, N,64000,155382,8,1
32, M, W, N,55000,31128,4,8
30, F, B, N,61000,146163,7,2
20, M, B, Y,52000,57989,7,0
40, F, B, Y,51000,89615,5,0
36, F, W, Y,53000,19214,3,4
67, M, B, Y,60000,30000,0,7
50, M, B, N,34000,23527,1,0
22, M, B, Y,67000,89705,2,7
59, F, B, Y,46000,62038,5,9
56, F, W, Y,35000,146708,5,5
64, M, W, N,23000,159305,1,5
50, M, W, N,32000,13149,2,3
42, F, W, N,61000,58316,7,3
42, M, W, Y,61000,110627,1,5
60, F, B, N,48000,55015,5,2
31, F, W, Y,68000,117858,5,0
63, F, W, Y,27000,157989,8,9
45, M, B, N,66000,146300,0,7
52, M, B, Y,69000,68947,6,5
51, F, B, Y,27000,79392,5,6
35, M, B, Y,30000,119616,8,2
49, M, B, N,49000,111017,3,6
27, F, W, N,54000,140680,6,7
64, M, W, Y,28000,118816,3,5
37, F, B, N,48000,158381,3,1
59, M, B, Y,20000,27987,9,0
40, M, B, N,23000,134416,9,5
44, F, W, N,38000,161180,0,1
60, F, B, Y,23000,164740,8,2
42, M, W, Y,55000,130128,2,8
30, F, B, Y,23000,32924,7,7
48, M, B, N,23000,144626,8,4
26, M, W, Y,28000,93671,3,2
36, F, W, Y,67000,14489,4,4
29, F, W, Y,62000,62121,0,6
53, M, B, Y,31000,120119,0,1
69, F, W, N,53000,164575,1,8
45, M, W, N,47000,27291,1,2
46, F, W, Y,33000,26264,8,0
35, F, W, N,57000,61804,0,8
49, M, B, Y,39000,151777,6,6
45, M, B, Y,67000,159599,3,4
40, M, W, N,46000,13783,1,0
39, F, W, Y,34000,107989,4,0
67, F, B, Y,44000,85672,1,1
35, F, W, Y,51000,53613,4,9
66, F, B, Y,41000,153729,4,2
41, M, W, Y,51000,32747,9,9
23, M, W, Y,40000,44483,5,9
45, M, W, N,67000,39590,7,5
64, F, W, N,22000,142845,5,7
33, F, W, Y,55000,108155,9,1
21, F, B, N,53000,76653,0,1
36, F, B, Y,26000,83386,6,2
21, M, W, Y,67000,63272,7,8
66, M, W, Y,29000,77140,8,0
63, F, B, Y,31000,13851,7,4
61, M, B, Y,60000,84625,6,0
20, M, B, N,49000,10872,7,4
68, F, B, Y,52000,156969,0,2
41, M, W, Y,51000,54617,2,2
20, F, W, N,55000,165494,4,7
69, F, B, Y,49000,54176,2,1
57, M, W, Y,32000,153355,5,0
28, M, W, Y,66000,118619,2,8
20, F, B, Y,60000,70159,4,2
69, M, B, N,21000,123962,2,2
39, M, W, Y,28000,125182,9,8
57, F, W, Y,23000,131546,8,9
32, M, B, Y,53000,154815,3,7
51, M, W, Y,49000,73456,0,9
48, M, W, N,35000,119867,2,9
46, M, W, N,34000,40615,4,9
53, M, B, N,35000,48347,8,0
57, F, B, N,62000,149154,2,4
67, M, W, Y,24000,19341,3,4
23, F, B, N,20000,120713,8,5
67, M, B, Y,28000,23631,7,7
48, M, W, N,31000,32272,7,9
52, F, W, N,28000,56653,6,3
37, F, B, N,46000,51157,3,1
56, F, W, N,54000,39449,0,4
49, M, W, N,33000,50827,0,2
24, M, W, N,38000,163205,2,9
24, F, W, Y,37000,43085,3,5
65, F, B, Y,64000,53034,5,2
65, F, B, N,45000,162329,9,6
23, M, W, N,59000,146603,7,8
58, F, W, Y,36000,97464,0,7
65, M, B, Y,50000,83239,8,1
45, F, W, N,50000,147113,5,7
27, F, B, N,50000,139144,8,4
53, F, W, Y,40000,33733,2,1
67, F, B, N,60000,104331,9,2
64, F, B, Y,28000,132285,4,6
30, F, W, Y,45000,116920,4,9
58, M, W, N,29000,49061,1,7
43, M, W, N,40000,10409,5,5
47, M, B, N,60000,86301,6,1
39, F, W, Y,56000,169550,3,6
45, F, B, Y,69000,128236,0,2
34, M, W, N,35000,50450,4,6
68, M, B, Y,63000,124161,4,9
34, M, W, N,41000,160534,6,4
44, M, W, N,65000,144181,3,6
31, M, B, Y,61000,53976,2,0
40, F, B, N,39000,103242,3,6
36, F, W, Y,22000,138240,4,7
23, M, B, Y,38000,89087,8,1
28, M, B, Y,41000,87349,4,6
26, F, W, N,56000,29742,2,4
43, M, B, N,65000,137504,6,9
